Timestamp,PersonBox,MaskLabel
2025-08-12T17:29:12.050406,"195,64,1744,1066",No Mask
2025-08-12T17:29:12.183594,"219,67,1734,1067",No Mask
2025-08-12T17:29:12.321626,"231,65,1720,1067",No Mask
2025-08-12T17:29:12.459240,"221,63,1722,1068",No Mask
2025-08-12T17:29:12.588450,"203,64,1733,1068",No Mask
2025-08-12T17:29:12.718632,"201,54,1718,1069",No Mask
2025-08-12T17:29:12.856303,"409,46,1716,1070",No Mask
2025-08-12T17:29:12.985254,"207,49,1766,1071",No Mask
2025-08-12T17:29:13.121672,"237,50,1769,1070",No Mask
2025-08-12T17:29:13.253858,"223,33,1794,1070",No Mask
2025-08-12T17:29:13.386765,"166,12,1825,1072",No Mask
2025-08-12T17:29:13.522917,"232,7,1858,1072",No Mask
2025-08-12T17:29:13.655889,"389,10,1874,1072",No Mask
2025-08-12T17:29:13.789247,"225,4,1912,1072",No Mask
2025-08-12T17:29:13.920137,"220,2,1905,1071",No Mask
2025-08-12T17:29:14.058288,"173,0,1895,1070",No Mask
2025-08-12T17:29:14.189858,"165,0,1901,1069",No Mask
2025-08-12T17:29:14.325368,"188,0,1908,1071",No Mask
2025-08-12T17:29:14.453390,"161,1,1908,1072",No Mask
2025-08-12T17:29:14.594161,"184,10,1852,1070",No Mask
2025-08-12T17:29:14.721851,"234,18,1792,1069",No Mask
2025-08-12T17:29:14.855995,"213,64,1729,1069",No Mask
2025-08-12T17:29:14.990666,"157,98,1700,1068",No Mask
2025-08-12T17:29:15.125909,"206,150,1665,1068",No Mask
2025-08-12T17:29:15.252836,"142,182,1625,1070",No Mask
2025-08-12T17:29:15.390556,"212,203,1633,1071",No Mask
2025-08-12T17:29:15.523228,"218,222,1602,1071",No Mask
2025-08-12T17:29:15.661123,"140,240,1601,1071",No Mask
2025-08-12T17:29:15.787664,"168,254,1593,1070",No Mask
2025-08-12T17:29:15.920228,"155,264,1597,1071",No Mask
2025-08-12T17:29:16.061742,"154,263,1590,1071",No Mask
2025-08-12T17:29:16.187054,"141,262,1602,1072",No Mask
2025-08-12T17:29:16.323419,"147,265,1613,1073",No Mask
2025-08-12T17:29:16.455664,"169,264,1619,1072",No Mask
2025-08-12T17:29:16.591087,"182,263,1621,1072",No Mask
2025-08-12T17:29:16.722806,"204,262,1625,1072",No Mask
2025-08-12T17:29:16.856770,"217,262,1623,1073",No Mask
2025-08-12T17:29:16.990946,"180,263,1621,1073",No Mask
2025-08-12T17:29:17.118562,"211,263,1624,1073",No Mask
2025-08-12T17:29:17.258025,"197,263,1627,1073",No Mask
2025-08-12T17:29:17.394416,"182,263,1628,1073",No Mask
2025-08-12T17:29:17.519007,"168,265,1628,1073",No Mask
2025-08-12T17:29:17.656056,"196,266,1628,1073",No Mask
2025-08-12T17:29:17.810559,"174,264,1627,1073",No Mask
2025-08-12T17:29:17.914309,"186,264,1627,1073",No Mask
2025-08-12T17:29:18.062190,"199,265,1627,1073",No Mask
2025-08-12T17:29:18.186281,"196,264,1623,1072",No Mask
2025-08-12T17:29:18.320755,"186,264,1623,1072",No Mask
2025-08-12T17:29:18.457247,"172,260,1622,1073",No Mask
2025-08-12T17:29:18.591150,"165,263,1623,1073",No Mask
2025-08-12T17:29:18.721343,"173,262,1622,1072",No Mask
2025-08-12T17:29:18.855588,"158,262,1629,1072",No Mask
2025-08-12T17:29:18.989518,"182,262,1630,1072",No Mask
2025-08-12T17:29:19.125473,"185,262,1631,1073",No Mask
2025-08-12T17:29:19.257405,"158,262,1627,1073",No Mask
2025-08-12T17:29:19.388915,"174,262,1627,1073",No Mask
2025-08-12T17:29:19.522254,"167,262,1627,1073",No Mask
2025-08-12T17:29:19.658569,"157,262,1632,1073",No Mask
2025-08-12T17:29:19.786536,"155,262,1632,1073",No Mask
2025-08-12T17:29:19.922975,"156,262,1632,1073",No Mask
2025-08-12T17:29:20.054275,"148,263,1632,1073",No Mask
2025-08-12T17:29:20.201040,"154,265,1628,1073",No Mask
2025-08-12T17:29:20.317416,"150,265,1629,1073",No Mask
2025-08-12T17:29:20.460525,"143,264,1627,1073",No Mask
2025-08-12T17:29:20.589356,"163,264,1625,1073",No Mask
2025-08-12T17:29:20.723682,"166,264,1628,1072",No Mask
2025-08-12T17:29:20.854928,"179,264,1625,1072",No Mask
2025-08-12T17:29:20.988803,"171,264,1624,1073",No Mask
2025-08-12T17:29:21.129510,"207,264,1627,1074",No Mask
2025-08-12T17:29:21.255558,"191,264,1627,1073",No Mask
2025-08-12T17:29:21.389992,"165,256,1628,1073",No Mask
2025-08-12T17:29:21.520420,"161,245,1624,1072",No Mask
2025-08-12T17:29:21.658844,"154,243,1621,1073",No Mask
2025-08-12T17:29:21.785766,"164,233,1619,1072",No Mask
2025-08-12T17:29:21.922873,"328,220,1660,1072",No Mask
2025-08-12T17:29:22.059223,"206,196,1687,1070",No Mask
2025-08-12T17:29:22.187149,"210,172,1681,1070",No Mask
2025-08-12T17:29:22.324217,"222,162,1670,1070",No Mask
2025-08-12T17:29:22.459918,"228,150,1715,1070",No Mask
2025-08-12T17:29:22.586879,"291,114,1745,1074",No Mask
2025-08-12T17:29:22.727606,"244,86,1766,1070",No Mask
2025-08-12T17:29:22.851861,"257,60,1789,1071",No Mask
2025-08-12T17:29:22.990490,"410,40,1810,1068",No Mask
2025-08-12T17:29:23.123600,"232,22,1820,1072",No Mask
2025-08-12T17:29:23.258947,"296,15,1840,1072",No Mask
2025-08-12T17:29:23.386424,"209,12,1813,1069",No Mask
2025-08-12T17:29:23.654145,"165,4,1773,1068",No Mask
2025-08-12T17:29:23.792368,"209,0,1846,1066",No Mask
2025-08-12T17:29:23.928948,"101,0,1821,1068",No Mask
2025-08-12T17:29:24.053931,"165,0,1821,1070",No Mask
2025-08-12T17:29:24.190305,"173,2,1824,1069",No Mask
2025-08-12T17:29:24.326438,"248,5,1359,1069",No Mask
2025-08-12T17:29:24.391472,"211,4,1825,1068",No Mask
2025-08-12T17:29:24.525624,"612,3,1816,1067",No Mask
2025-08-12T17:29:24.584871,"147,0,1339,1066",No Mask
2025-08-12T17:29:24.726326,"184,3,1838,1069",No Mask
2025-08-12T17:29:24.853893,"191,0,1820,1068",No Mask
2025-08-12T17:29:24.919841,"173,0,1337,1066",No Mask
2025-08-12T17:29:25.053242,"222,5,1854,1068",No Mask
2025-08-12T17:29:25.193976,"163,4,1873,1068",No Mask
2025-08-12T17:29:25.322545,"159,1,1868,1068",No Mask
2025-08-12T17:29:25.459812,"161,4,1866,1070",No Mask
2025-08-12T17:29:25.590130,"223,5,1853,1069",No Mask
2025-08-12T17:29:25.652331,"149,3,1374,1070",No Mask
2025-08-12T17:29:25.795199,"207,6,1851,1068",No Mask
2025-08-12T17:29:25.925708,"215,5,1850,1068",No Mask
2025-08-12T17:29:26.055285,"262,6,1849,1069",No Mask
